time,I_dir,I_glo,I_dif
2014-12-05 21:00:00,0.053,0.04,0.0
2014-12-05 21:10:00,0.401,0.21,0.0
2014-12-05 21:20:00,0.16,0.002,0.0
2014-12-05 21:30:00,0.0,0.0,0.0
2014-12-05 21:40:00,0.173,0.0,0.0
2014-12-05 21:50:00,0.0,0.0,0.0
2014-12-05 22:00:00,0.296,0.0,0.0
2014-12-05 22:10:00,0.698,0.0,0.0
2014-12-05 22:20:00,0.241,0.0,0.0
2014-12-05 22:30:00,0.491,0.005,0.0
2014-12-05 22:40:00,0.517,0.0,0.0
2014-12-05 22:50:00,0.0,0.001,0.0
2014-12-05 23:00:00,0.0,0.0,0.0
2014-12-05 23:10:00,0.0,0.0,0.0
2014-12-05 23:20:00,0.0,0.001,0.0
2014-12-05 23:30:00,0.131,0.008,0.002
2014-12-05 23:40:00,0.683,0.121,0.031
2014-12-05 23:50:00,0.087,0.0,0.0
