	tz	gs	alpha
2023-01-01 00:00:00	175.85163672786925	-179.99999999999994	-85.85163672786928
2023-01-01 00:30:00	172.04371859212878	-119.77854640339692	-82.04371859212878
2023-01-01 01:00:00	165.80705381037916	-103.68872276660993	-75.80705381037917
2023-01-01 01:30:00	159.2349897121621	-96.53619192781629	-69.23498971216212
2023-01-01 02:00:00	152.58110711939403	-91.99733292097561	-62.58110711939403
2023-01-01 02:30:00	145.90915360776052	-88.51927595287017	-55.90915360776054
2023-01-01 03:00:00	139.24601350637684	-85.54388441149904	-49.246013506376826
2023-01-01 03:30:00	132.6081846112876	-82.81605575253175	-42.60818461128761
2023-01-01 04:00:00	126.00901741175808	-80.1963707724072	-36.00901741175808
2023-01-01 04:30:00	119.46145488094413	-77.59590244644069	-29.46145488094413
2023-01-01 05:00:00	112.97945575891119	-74.94912153545987	-22.979455758911186
2023-01-01 05:30:00	106.57902566212694	-72.20088083449458	-16.579025662126945
2023-01-01 06:00:00	100.27920233764407	-69.29924865317417	-10.279202337644067
2023-01-01 06:30:00	94.10316809833466	-66.19098269256892	-4.103168098334667
2023-01-01 07:00:00	88.07960660444756	-62.818304776809605	1.920393395552428
2023-01-01 07:30:00	82.24439880939566	-59.11647988911809	7.755601190604343
2023-01-01 08:00:00	76.64272543814215	-55.012235628083225	13.357274561857853
2023-01-01 08:30:00	71.33157277987354	-50.42358747012033	18.668427220126468
2023-01-01 09:00:00	66.38246661544781	-45.262323447614854	23.61753338455219
2023-01-01 09:30:00	61.88389849458617	-39.441266476837775	28.116101505413834
2023-01-01 10:00:00	57.94227076723762	-32.88912512889018	32.05772923276238
2023-01-01 10:30:00	54.6793149578212	-25.575110863293357	35.3206850421788
2023-01-01 11:00:00	52.22331918720884	-17.541387254002967	37.77668081279116
2023-01-01 11:30:00	50.692375513319696	-8.932347120109279	39.30762448668031
2023-01-01 12:00:00	50.171636727869235	0.0	39.828363272130765
2023-01-01 12:30:00	50.692375513319696	8.932347120109279	39.30762448668031
2023-01-01 13:00:00	52.22331918720884	17.541387254002967	37.77668081279116
2023-01-01 13:30:00	54.6793149578212	25.575110863293357	35.3206850421788
2023-01-01 14:00:00	57.94227076723762	32.88912512889018	32.05772923276238
2023-01-01 14:30:00	61.88389849458617	39.441266476837775	28.116101505413834
2023-01-01 15:00:00	66.38246661544781	45.262323447614854	23.61753338455219
2023-01-01 15:30:00	71.33157277987354	50.42358747012033	18.668427220126468
2023-01-01 16:00:00	76.64272543814215	55.012235628083225	13.357274561857853
2023-01-01 16:30:00	82.24439880939566	59.11647988911809	7.755601190604343
2023-01-01 17:00:00	88.07960660444756	62.818304776809605	1.920393395552428
2023-01-01 17:30:00	94.10316809833466	66.19098269256892	-4.103168098334667
2023-01-01 18:00:00	100.27920233764407	69.29924865317417	-10.279202337644067
2023-01-01 18:30:00	106.57902566212694	72.20088083449458	-16.579025662126945
2023-01-01 19:00:00	112.97945575891119	74.94912153545987	-22.979455758911186
2023-01-01 19:30:00	119.46145488094413	77.59590244644069	-29.46145488094413
2023-01-01 20:00:00	126.00901741175808	80.1963707724072	-36.00901741175808
2023-01-01 20:30:00	132.6081846112876	82.81605575253175	-42.60818461128761
2023-01-01 21:00:00	139.24601350637684	85.54388441149904	-49.246013506376826
2023-01-01 21:30:00	145.90915360776052	88.51927595287017	-55.90915360776054
2023-01-01 22:00:00	152.58110711939403	91.99733292097561	-62.58110711939403
2023-01-01 22:30:00	159.2349897121621	96.53619192781629	-69.23498971216212
2023-01-01 23:00:00	165.80705381037916	103.68872276660993	-75.80705381037917
2023-01-01 23:30:00	172.04371859212878	119.77854640339692	-82.04371859212878
2023-01-02 00:00:00	175.77054360830772	-179.99999999999994	-85.77054360830769
2023-01-02 00:30:00	171.99930720433056	-120.26738342211145	-81.99930720433056
2023-01-02 01:00:00	165.77900890404922	-103.99875354682815	-75.7790089040492
2023-01-02 01:30:00	159.21224826783734	-96.75562916795866	-69.21224826783734
2023-01-02 02:00:00	152.56005895479362	-92.16733834073366	-62.56005895479361
2023-01-02 02:30:00	145.8882098712029	-88.65900804306467	-55.88820987120288
2023-01-02 03:00:00	139.22431092401686	-85.66354807713708	-49.224310924016876
2023-01-02 03:30:00	132.58517247976832	-82.9216876560165	-42.585172479768325
2023-01-02 04:00:00	125.98429388544159	-80.29183120786335	-35.984293885441595
2023-01-02 04:30:00	119.43469099595626	-77.68380910246597	-29.43469099595627
2023-01-02 05:00:00	112.95035554989279	-75.03132891927011	-22.950355549892805
2023-01-02 05:30:00	106.54730301428398	-72.27874250052936	-16.547303014283983
2023-01-02 06:00:00	100.24456655206893	-69.37376495811544	-10.244566552068939
2023-01-02 06:30:00	94.06531482931777	-66.26288156234278	-4.06531482931776
2023-01-02 07:00:00	88.03821320813633	-62.88807774002014	1.9617867918636722
2023-01-02 07:30:00	82.19912480471488	-59.18438286227666	7.800875195285126
2023-01-02 08:00:00	76.5932204174767	-55.07825707413474	13.406779582523303
2023-01-02 08:30:00	71.27749603338358	-50.48738376462472	18.72250396661641
2023-01-02 09:00:00	66.32352485146158	-45.323123887233756	23.67647514853841
2023-01-02 09:30:00	61.81990936012528	-39.49776273090285	28.18009063987472
2023-01-02 10:00:00	57.87325760029661	-32.93938823056659	32.126742399703396
2023-01-02 10:30:00	54.60562714504425	-25.616623090202214	35.39437285495575
2023-01-02 11:00:00	52.14574782885226	-17.571309801355874	37.85425217114774
2023-01-02 11:30:00	50.612202061077824	-8.948095381814474	39.387797938922176
2023-01-02 12:00:00	50.09054360830765	0.0	39.909456391692345
2023-01-02 12:30:00	50.612202061077824	8.948095381814474	39.387797938922176
2023-01-02 13:00:00	52.14574782885226	17.571309801355874	37.85425217114774
2023-01-02 13:30:00	54.60562714504425	25.616623090202214	35.39437285495575
2023-01-02 14:00:00	57.87325760029661	32.93938823056659	32.126742399703396
2023-01-02 14:30:00	61.81990936012528	39.49776273090285	28.18009063987472
2023-01-02 15:00:00	66.32352485146158	45.323123887233756	23.67647514853841
2023-01-02 15:30:00	71.27749603338358	50.48738376462472	18.72250396661641
2023-01-02 16:00:00	76.5932204174767	55.07825707413474	13.406779582523303
2023-01-02 16:30:00	82.19912480471488	59.18438286227666	7.800875195285126
2023-01-02 17:00:00	88.03821320813633	62.88807774002014	1.9617867918636722
2023-01-02 17:30:00	94.06531482931777	66.26288156234278	-4.06531482931776
2023-01-02 18:00:00	100.24456655206893	69.37376495811544	-10.244566552068939
2023-01-02 18:30:00	106.54730301428398	72.27874250052936	-16.547303014283983
2023-01-02 19:00:00	112.95035554989279	75.03132891927011	-22.950355549892805
2023-01-02 19:30:00	119.43469099595626	77.68380910246597	-29.43469099595627
2023-01-02 20:00:00	125.98429388544159	80.29183120786335	-35.984293885441595
2023-01-02 20:30:00	132.58517247976832	82.9216876560165	-42.585172479768325
2023-01-02 21:00:00	139.22431092401686	85.66354807713708	-49.224310924016876
2023-01-02 21:30:00	145.8882098712029	88.65900804306467	-55.88820987120288
2023-01-02 22:00:00	152.56005895479362	92.16733834073366	-62.56005895479361
2023-01-02 22:30:00	159.21224826783734	96.75562916795866	-69.21224826783734
2023-01-02 23:00:00	165.77900890404922	103.99875354682815	-75.7790089040492
2023-01-02 23:30:00	171.99930720433056	120.26738342211145	-81.99930720433056
2023-01-03 00:00:00	175.68265567379328	-179.99999999999994	-85.68265567379329
2023-01-03 00:30:00	171.95053290858513	-120.79108758444045	-81.95053290858515
2023-01-03 01:00:00	165.74816482298908	-104.3334023221213	-75.7481648229891
2023-01-03 01:30:00	159.18728711879902	-96.99293221516811	-69.18728711879903
2023-01-03 02:00:00	152.5370145514563	-92.3513157331885	-62.5370145514563
2023-01-03 02:30:00	145.86533278404104	-88.8102774476294	-55.86533278404105
2023-01-03 03:00:00	139.20065043211383	-85.7931194034473	-49.20065043211382
